2400:8800:f100::26/127,US,,,
2400:8800:f100:1::/64,SG,,,
2400:8800:f801::/48,GR,,Athens,
2400:8800:f804::/48,GR,,Athens,
2400:8800:f805::/48,HN,,undefined,
2400:8800:f806::/48,GR,,Rhodes,
2400:8800:f807::/48,AU,,Melbourne,
2400:8800:f812::/48,GB,,London,
2400:8800:f813::/48,BV,,undefined,
2400:8800:f815::/48,AG,,undefined,
2400:8800:f81a::/48,GB,,London,
2400:8800:f829::/48,JP,,Tokyo,
2400:8800:f82c::/48,JP,,Tokyo,
2400:8800:f833::/48,CI,,undefined,
2400:8800:f834::/48,AI,,h,
2400:8800:f835::/48,JP,,Tokyo,
2400:8800:f83f::/48,JP,,undefined,
2400:8800:f873::/48,CC,,undefined,
2400:8800:f89f::/48,HK,,Hong Kong,
2400:8800:f8a0::/48,CN,,Hong Kong,
2400:8800:f8a2::/48,HK,,Hong Kong,
2400:8800:f8a3::/48,HK,,Hong Kong,
2400:8800:f8a4::/48,HK,,Hong Kong,
2400:8800:f8a5::/48,CN,,Hong Kong,
2400:8800:f8aa::/48,AU,,undefined,
2400:8800:fc00:100::/56,HK,,,
